,,,,,WOLVES,,,,,,,,MOOSE,,,,,,,,,,CLIMATE,,,,,,,,,,,
year,wolves,moose,kill rate,predation rate,f (wolves),ancestry (immigrant wolf),Juvenile Survival,Adult Survival,overall survival (genetic-CR),overall survival (field-based estimate),"% mortality, obsolete","%recruitment, obsolete","recruitment rate, moose (aerial surveys)",mean age (excluding calves),proportion of moose population that are senescent,UN:C -west,UN:C - east,GA:C - west,GA:C - east,proportion of diet that is fir,proportion of diet that is cedar,proportion of diet that is deciduous,ticks (mean hair loss),"July-Sept (temp, F)","Apr-May (temp, F)","Jan-Feb (temp, F)","May-Aug (precip, inches)",NAO (DJFM - station based),NAO - annual,snow.depth (cm),"ice bridges (0=none, 1 = present)",springtime growing degree days,,
1959,20,538,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,5.82,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.2,43.9,1.4,16.8,-0.37,1.83,NA,0,N/A yet,,
1960,22,564,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.3,6.14,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.667,43.4,8.45,12.08,-1.54,-1.88,NA,0,N/A yet,,
1961,22,572,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.5,6.27,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.967,41.4,9.75,8.94,1.8,0.47,NA,1,N/A yet,,
1962,23,579,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.5,6.11,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57.9,42.6,2.15,16.01,-2.38,-1.05,NA,1,N/A yet,,
1963,20,596,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.2,5.76,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.733,43.5,-0.35,14.1,-3.6,-2.16,NA,1,N/A yet,,
1964,26,620,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.9,5.37,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58.333,45.75,12.4,17.35,-2.86,-1.04,NA,0,N/A yet,,
1965,28,634,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.2,5.18,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.567,43.65,1.25,13.68,-2.88,-1.77,NA,1,N/A yet,,
1966,26,661,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,4.89,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.367,39.2,1.7,13.06,-1.69,-2.54,NA,1,N/A yet,,
