CC 0.5,,,,,,,
,,,,,,,
,,,,,,,
days,#ind./ml,days,#ind./ml,,,,
time,paramecium,time,didinium,,,,
0.00,15.65,0.00,5.76,,,,
0.54,53.57,0.5,9.05,,,,
1.02,73.34,1.00,17.26,,,,
1.54,93.93,1.53,41.97,,,,
2.02,115.40,2.06,55.97,,,,
2.48,76.57,2.54,74.91,,,,
3.00,32.83,3.00,62.52,,,,
3.46,23.74,3.47,27.04,,,,
4.00,56.70,3.94,18.77,,,,
4.48,86.37,4.51,31.11,,,,
4.96,121.00,4.94,58.31,,,,
5.47,71.48,5.47,73.13,,,,
5.99,55.78,5.99,63.21,,,,
6.45,31.84,6.46,52.46,,,,
6.98,26.87,6.98,40.07,,,,
7.45,53.24,7.45,27.67,,,,
7.98,65.59,7.92,26.00,,,,
8.51,81.23,8.50,24.32,,,,
8.95,143.90,8.97,21.00,,,,
9.55,237.90,9.44,33.35,,,,
10.03,276.60,9.97,64.67,,,,
10.49,222.20,10.45,94.34,,,,
10.93,137.20,10.98,103.40,,,,
11.49,46.45,11.44,82.74,,,,
11.95,27.46,11.96,65.40,,,,
12.43,41.46,12.48,51.35,,,,
12.95,44.73,12.95,28.24,,,,
13.44,88.42,13.47,23.27,,,,
13.96,105.70,14.00,38.09,,,,
14.50,155.20,14.47,14.97,,,,
15.04,205.50,14.99,24.84,,,,
15.54,312.70,15.47,49.56,,,,
16.04,213.70,16.00,75.93,,,,
15.97,163.40,16.01,104.00,,,,
17.00,85.78,17.00,106.40,,,,
17.51,48.64,17.53,100.60,,,,
18.04,44.49,18.05,84.08,,,,
18.51,63.44,18.51,45.30,,,,
19.04,71.66,19.08,35.37,,,,
19.52,127.70,19.50,35.35,,,,
20.07,206.90,20.03,41.10,,,,
20.57,309.90,20.50,52.62,,,,
21.10,156.50,21.09,120.20,,,,
21.55,63.30,21.56,112.80,,,,
22.08,77.29,22.03,92.14,,,,
22.49,45.11,22.55,65.72,,,,
23.02,57.45,23.01,33.54,,,,
23.54,69.80,23.53,21.14,,,,
24.03,121.70,24.05,17.82,,,,
24.62,185.20,24.53,26.04,,,,
25.09,175.30,25.06,65.61,,,,
25.61,139.00,25.59,76.30,,,,
26.01,77.11,26.07,96.07,,,,
26.53,57.29,26.48,68.84,,,,
27.05,54.79,27.05,54.79,,,,
27.58,75.38,27.52,35.80,,,,
28.05,87.73,28.04,32.48,,,,
28.59,136.40,28.51,24.21,,,,
29.10,290.60,28.98,35.73,,,,
29.59,345.80,29.51,55.50,,,,
30.09,271.60,29.99,93.41,,,,
30.59,156.10,30.58,117.30,,,,
30.98,71.10,30.99,95.02,,,,
31.50,43.86,31.46,85.92,,,,
32.02,30.64,32.04,82.60,,,,
32.49,35.56,32.50,66.08,,,,
33.02,52.03,33.03,63.58,,,,
33.49,37.99,33.49,37.99,,,,
34.02,62.71,34.01,25.60,,,,
34.50,103.90,34.48,23.10,,,,
35.10,187.20,35.06,37.09,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
